,Unnamed: 0,overview,popularity,title,generos_name
2870,2870,"The story of hard-luck Melvin Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.",6.737435,Melvin and Howard,"Comedy, Drama"
2871,2871,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,9.765123,For Your Eyes Only,"Adventure, Action, Thriller"
2872,2872,James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge.,11.137888,Licence to Kill,"Adventure, Action, Thriller"
2873,2873,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,9.773768,Live and Let Die,"Adventure, Action, Thriller"
2874,2874,"Ireland will never be the same after Rawhead Rex, a particularly nasty demon, is released from his underground prison by an unwitting farmer. The film follows Rex's cross country rampage, while a man struggles to stop it.",3.497943,Rawhead Rex,Horror
2875,2875,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,10.517835,Thunderball,"Adventure, Action, Thriller"
2876,2876,The stories of four Hispanic immigrants living in New York City.,0.467303,The City,Drama
2877,2877,"A remake of the 1959 film of the same name. A millionaire offers a group of diverse people $1,000,000 to spend the night in a haunted house with a horrifying past.",10.187278,House on Haunted Hill,"Horror, Mystery, Thriller"
2878,2878,Story of a schoolteacher's struggle to teach violin to inner-city Harlem kids.,3.104943,Music of the Heart,Drama
2879,2879,"Spike Jonze’s debut feature film is a love story mix of comedy and fantasy. The story is about an unsuccessful puppeteer named Craig, who one day at work finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters it’s mad and controlling world of overtaking another human body.",11.416319,Being John Malkovich,"Fantasy, Drama, Comedy"
2880,2880,"Set in rural England in the 1950s Eva (Samantha Morton) fantasises about her handsome, worldly cousin Joseph Lees (Rupert Graves), with whom she fell in love as a girl. However, stuck in a closed community she becomes the object of someone else's fantasy, Harry (Lee Ross). When Harry learns that Eva is planning to leave the village in order to live with and look after the injured Lees, he devises a gruesome scheme in order to force her to stay and look after him.",1.241349,Dreaming of Joseph Lees,"Romance, Drama"
2881,2881,"Fantasy-comedy about a young man who lives as if it is 1928 or so, and his encounters with modern-day women and modern-day criminals.",0.007829,Man Of The Century,"Romance, Comedy"
2882,2882,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",17.166725,Princess Mononoke,"Adventure, Fantasy, Animation"
2883,2883,"An 80s one-hit wonder band named The Suburbans reform for a special performance at one of the ex-member's wedding. At the wedding, a young record company talent scout happens to be in the audience and decides to give the now 40-ish performers a comeback push. The film attempts to take a satirical look at the music business of the 90s and compare it to the simpler 80s scene.",1.73986,The Suburbans,"Comedy, Drama"
2884,2884,A look at the tumultuous yet productive relationship between German director Werner Herzog and actor Klaus Kinski.,1.807445,My Best Fiend,Documentary
2885,2885,"In 1941, the inhabitants of a small Jewish village in Central Europe organize a fake deportation train so that they can escape the Nazis and flee to Palestine.",3.040512,Train of Life,"Drama, Comedy, War"
2886,2886,"Jimmie is seeing his single friends get married one by one. He isn't too worried until his girlfriend Anne catches the bouquet at his friend Marco's wedding. Suddenly, his wild mustang days are numbered. He finally decides to propose to her, but he sticks his foot in his mouth and botches the proposal. Being insulted by the defeatist proposal, Anne leaves town on an assignment. After she's gone, he finds out that his recently-deceased grandfather's will stipulates that he gets nothing of a multi-million dollar fortune unless he's married by 6:05pm on his 30th birthday: tomorrow! Not being able to find Anne, Jimmie begins backtracking through his past girlfriends to find a wife.",5.061725,The Bachelor,Comedy
2887,2887,"Rookie cop, Amelia Donaghy reluctantly teams with Lincoln Rhyme – formerly the department's top homicide detective but now paralyzed as a result of a spinal injury – to catch a grisly serial killer dubbed 'The Bone Collector'. The murderer's special signature is to leave tantalizing clues based on the grim remains of his crimes.",8.884406,The Bone Collector,"Drama, Mystery, Thriller, Crime"
2888,2888,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand",11.3569,The Insider,"Drama, Thriller"
2889,2889,"AMERICAN MOVIE is the story of filmmaker Mark Borchardt, his mission, and his dream. Spanning over two years of intense struggle with his film, his family, financial decline, and spiritual crisis, AMERICAN MOVIE is a portrayal of ambition, obsession, excess, and one man's quest for the American Dream.",5.964323,American Movie,Documentary
2890,2890,"Various citizens of Toronto anxiously await the end of the world, which is occurring at the stroke of midnight on New Year's Day. While widower Patrick Wheeler braces for his fate, he meets Sandra, the wife of a businessman who is intent on committing suicide. Meanwhile, Patrick's friend Craig decides to have as much sex as he can while there is still time.",5.466969,Last Night,"Romance, Drama, Science Fiction"
2891,2891,"Ada and Lise are both costume designers, the first is around 20, the other around 30. Both are working hard on their break through. There are also jobs for the movies. This is where Lise meets producer Alphonse, who is nearly 20 years older than she. Because he is unhappy with his girlfriend a secret relationship evolves. Ada has problems as well, but she's not the only one. There are also the young Emma and Nina, as well as Yves and Guido - enough people to get into complicated relationship entanglements.",0.127894,Portraits Chinois,"Drama, Comedy"
2892,2892,"Young and impulsive Rosetta lives with her alcoholic mother and, moved by despair, she will do anything to maintain a job.",2.730118,Rosetta,Drama
2893,2893,Desperate characters stake their fortune on a Depression-era dance marathon.,4.904915,"They Shoot Horses, Don't They?",Drama
2894,2894,"Alfred's father feels his son has grown up too comfortably and as a result has not become what a man should be. To remedy this predicament he sends his son Alfred off on a hunting trip. On the trip, in the midst of many follies brought on by his inexperience with the outdoors, he meets a young mountain girl and falls in love with her. Alfred's butler, who has accompanied him on the outing, is sent to arrange the marriage with the girl's father, who thinks Alfred is too weak to become a member of the family. In an attempt to change the father's mind, the butler tells the girl's father and brother that Alfred is actually Alfred ""Battling"" Butler, a professional boxer. The deception works and a wedding is arranged. Comic mischief ensues as Alfred and his butler attempt to make their newly fabricated story seem plausible to the family of his new bride.",1.09569,Battling Butler,"Drama, Comedy"
2895,2895,"Herbert West once again revives the dead. This time, he brings Dan's ex-girlfriend's heart back inside a 'perfect' body. Dr. Hill returns as the evil nemesis who lost his head.",8.244989,Bride of Re-Animator,"Comedy, Horror, Science Fiction"
2896,2896,"After ex-con Joe Braxton violates his probation he is given a second chance, all he has to do is drive a group of special kids across the country. What could possibly go wrong?",1.527771,Bustin' Loose,"Adventure, Comedy"
2897,2897,A young woman doctor discovers something sinister going on in her hospital. Relatively healthy patients are having 'complications' during simple operations and ending up in comas. The patients are then shipped off to an institute that looks after them. The young doctor suspects there is more to this than meets the eye.,5.617866,Coma,"Thriller, Mystery, Drama"
2898,2898,"Inspired by the E.C. comics of the 1950s, George A.Romero and Stephen King bring five tales of terror to the screen.",10.434018,Creepshow,"Horror, Comedy, Fantasy"
2899,2899,"EC Comics-inspired weirdness returns with three tales. In the first, a wooden statue of a Native American comes to life...to exact vengeance on the murderer of his elderly owners. In the second, four teens are stranded on a raft on a lake with a blob that is hungry. And in the third, a hit and run woman is terrorized by the hitchhiker she accidentally killed...or did she really kill him?",9.330087,Creepshow 2,Horror
2900,2900,A dedicated student at a medical college and his girlfriend become involved in bizarre experiments centering around the re-animation of dead tissue when an odd new student arrives on campus.,9.867238,Re-Animator,"Science Fiction, Comedy, Horror"
2901,2901,"Bob and his friends Dianne, Rick and Nadine have been drug addicts for years and live from one high to the next. Gus Van Sant attempts to show an intimate look into the lives of heroin addicts with his film Drugstore Cowboy.",8.026112,Drugstore Cowboy,"Crime, Drama"
2902,2902,"On the day of his daughter's birthday, William ""D-Fens"" Foster is trying to get to the home of his estranged ex-wife to see his daughter. His car breaks down, so he leaves his car in a traffic jam in Los Angeles and decides to walk. He goes to a convenience store and tries to get some change for a phone call, but the Korean owner does not oblige, tipping Foster over the edge. The unstable Foster, so frustrated with the various flaws he sees in society, begins to psychotically and violently lash out against them.",10.175138,Falling Down,"Crime, Drama, Thriller"
2903,2903,"Rebellious teen Amy (Elizabeth Berridge) defies her parents by going to a trashy carnival that has pulled into town. In tow are her boyfriend, Buzz (Cooper Huckabee), and their friends Liz (Largo Woodruff) and Richie (Miles Chapin). Thinking it would be fun to spend the night in the campy ""Funhouse"" horror ride, the teens witness a murder by a deformed worker wearing a mask. Locked in, Amy and her friends must evade the murderous carnival workers and escape before it leaves town the next day.",3.99005,The Funhouse,Horror
2904,2904,"During America’s Civil War Union spies steal engineer Johnnie Gray's (Buster Keaton's) beloved locomotive The General and he single-handedly must do all in his power to get it back. Released throughout most of the world in 1927, this Silent comedy-action film flopped when originally released, but now is regarded as one of the great American motion pictures. The story is based on actual historic events.",8.002953,The General,"Action, Adventure, Comedy, Drama"
2905,2905,"Joe Merrill, son of the millionaire owner of a chain of 5 and 10 cent stores, poses as Joe Grant, and takes a job in the stockroom of one of his father's stores, to prove that he can be a success without his father's influence. There he meets stockroom girl Maggie Johnson, and they fall in love. This causes problems, because Mrs. Merrill had planned for her son to marry Millicent Rogers, a high society girl.",0.205671,My Best Girl,"Drama, Comedy, Romance"
2906,2906,"When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.",16.038604,Piranha,Horror
2907,2907,"The only business in the Wild West town of Jericho that corrupt sheriff Alex Flood doesn't control behind the scenes is the stagecoach owned by tough-willed widow Molly Lang and her right-hand man, Hickman. Former marshal Dolan, recently hired by Lang and Hickman as a driver, wants to stay out of the mess, but when he sees Flood's henchman Yarbrough assault Lang, he steps up to fight the corruption.",1.078688,Rough Night in Jericho,Western
2908,2908,"The owner of a slaughterhouse facing foreclosure instructs his 350lbs, mentally retarded son to go on a killing spree against the people who want to buy his property.",1.5568,Slaughterhouse,Horror
2909,2909,"Baptista, a rich Paduan merchant, announces that his fair young daughter, Bianca, will remain unwed until her older sister, Katharina, a hellish shrew, has wed. Lucentio, a student and the son of a wealthy Pisan merchant, has fallen in love with Bianca. He poses as a tutor of music and poetry to gain entrance to the Baptista household and to be near Bianca. Meanwhile, Petruchio, a fortune-hunting scoundrel from Verona, arrives in Padua, hoping to capture a wealthy wife. Hortensio, another suitor of Bianca, directs Petruchio's attention to Katharina. When Hortensio warns him about Katharina's scolding tongue and fiery temper, Petruchio is challenged and resolves to capture her love. Hortensio and another suitor of Bianca, Gremio, agree to cover Petruchio's costs as he pursues Katharina.",2.786435,The Taming of the Shrew,"Comedy, Drama, Romance"
2910,2910,An international terrorist has New York in a grip of panic and it's up to Det. Sgt. Deke DaSilva to take him down.,5.830675,Nighthawks,"Action, Crime, Thriller"
2911,2911,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",10.313688,Yojimbo,"Drama, Thriller"
2912,2912,"It's been some time since Father Jebedaiah Mayii exorcised the Devil from little Nancy Aglet, who is now grown up with a husband and two children of her own. But the prince of darkness wants to go a second round and has returned to repossess her! With Father Mayii unwilling to help, Father Luke Brophy tries his best to help Nancy, even when TV's Ernest Weller plans to air the exorcism live on TV.",11.966566,Repossessed,"Comedy, Horror"
2913,2913,"Robert Neville, a doctor, due to an experimental vaccine, is the only survivor of an apocalyptic war waged with biological weapons. The plague caused by the war has killed everyone else except for a few hundred deformed, nocturnal people calling themselves ""The Family"". The plague has caused them to become sensitive to light, as well as homicidally psychotic.",6.445639,The Omega Man,"Action, Science Fiction, Thriller"
2914,2914,"When the nefarious Dark Helmet hatches a plan to snatch Princess Vespa and steal her planet's air, space-bum-for-hire Lone Starr and his clueless sidekick fly to the rescue. Along the way, they meet Yogurt, who puts Lone Starr wise to the power of ""The Schwartz."" Can he master it in time to save the day?",9.10373,Spaceballs,"Comedy, Science Fiction"
2915,2915,"With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men.",11.179855,Robin Hood,"Animation, Family"
2916,2916,"A hilarious and heartfelt military comedy-drama co-directed by John Ford and Mervyn LeRoy, Mister Roberts stars Henry Fonda as an officer who's yearning for battle but is stuck in the backwaters of World War II on a noncommissioned Navy ship run by the bullying Capt. Morton (James Cagney). Jack Lemmon enjoys a star-making turn as the freewheeling Ensign Pulver, and William Powell stars as the ship's doctor in his last screen role.  Based on the 1946 novel with the same name, by Thomas Heggen, and the 1948 Broadway play, written by Thomas Heggen and Joshua Logan. Henry Fonda also starred in the original Broadway production. Warner Bros. didn't want Fonda to star in the film, as they thought he was too old, and had been a stage player for so long (8 years), that he no longer was box office material. However, John Ford insisted on Fonda and the company eventually agreed.",2.593458,Mister Roberts,"Comedy, Drama, Family, War"
2917,2917,"A colossal adventure odyssey that turns back the hands of time to the very beginning of man's existence. 80,000 years ago, when man roamed the earth, he was exposed to the many harsh elements of nature. Against the perilous atmosphere of rugged terrain, rival tribes and savage beasts, Quest for Fire examines a peaceful tribe's search for that all important element fire, and the knowledge to create it. Focusing on human dream as well as realistic insights into pre-historic man, the constant struggle for survival is vividly recreated in this sensational production.",8.341166,Quest for Fire,"Adventure, Drama"
2918,2918,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer.",8.186994,Little Big Man,"Adventure, Western, History"
2919,2919,"""A Face in the Crowd"" charts the rise of a raucous hayseed named Lonesome Rhodes from itinerant Ozark guitar picker to local media rabble-rouser to TV superstar and political king-maker. Marcia Jeffries is the innocent Sarah Lawrence girl who discovers the great man in a back-country jail and is the first to fall under his spell",6.656685,A Face in the Crowd,Drama
2920,2920,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.,14.285052,Trading Places,Comedy
2921,2921,"Tripper is the head counselor at a budget summer camp called Camp Northstar. In truth, he's young at heart and only marginally more mature than the campers themselves. Tripper befriends Rudy, a loner camper who has trouble fitting in. As Tripper inspires his young charges to defeat rival Camp Mohawk in the annual Olympiad competition, Rudy plays matchmaker between Tripper and Roxanne, a female counselor at Northstar.",6.613063,Meatballs,Comedy
2922,2922,"The second in-name-only sequel to the first Meatballs summer camp movie sets us at Camp Sasquash where the owner Giddy tries to keep his camp open after it's threatened with foreclosure after Hershey, the militant owner of Camp Patton located just across the lake, wants to buy the entire lake area to expand Camp Patton. Giddy suggests settling the issue with the traditional end-of-the-summer boxing match over rights to the lake. Meanwhile, a tough, inner city punk, nicknamed Flash, is at Camp Sasquash for community service as a counselor-in-training where he sets his sights on the naive and intellectual Cheryl, while Flash's young charges befriend an alien, whom they name Meathead, also staying at the camp for the summer.",1.475532,Meatballs Part II,Comedy
2923,2923,The ghost of a dead porn star comes to Earth to help a nerd with his sex life.,1.667607,Meatballs III: Summer Job,Comedy
2924,2924,"Ricky is the hottest water-ski instructor around and he has just be rehired by his former employer/camp to whip up attendance. But the camp is in serious financial trouble and the owner of a rival, more popular, camp wants to buy them out. Therefore they will have to engage in a mean, winner-takes-all competition that will settle the row once and for all.",0.921189,Meatballs 4,Comedy
2925,2925,In 1949 composer Roman Strauss is executed for the vicious murder of his wife Margaret with a pair of scissors. In 1990s Los Angeles a mute amnesiac woman shows up at an orphanage and private eye Mike Church is called in to investigate. Under hypnosis both the woman and Church seem to have a strange link back to the Strauss murder.,9.696201,Dead Again,Thriller
2926,2926,"It is New Year's weekend and the friends of Peter (Fry) gather at his newly inherited country house. Ten years ago, they all acted together in a Cambridge University student comedy troupe, but it's less clear how much they have in common now.Peter's friends are Andrew (Branagh), now a writer in Hollywood; married jingle writers Roger (Laurie) and Mary (Staunton); glamorous costume designer Sarah (Emmanuel); and eccentric Maggie (Thompson), who works in publishing. Cast in sharp relief to the university chums are Carol (Rudner), the American TV star wife of Andrew; and loutish Brian (Slattery), Sarah's very recently acquired lover. Law plays Peter's disapproving housekeeper, Vera; and Lowe, her son Paul. Briers appears in a cameo role as Peter's father.",2.540085,Peter's Friends,"Comedy, Drama"
2927,2927,An adventurous love story between two young women of different social and economic backgrounds who find themselves going through all the typical struggles of a new romance.,2.149553,The Incredibly True Adventure of Two Girls In Love,"Comedy, Drama, Romance"
2928,2928,"A shy, introverted young girl takes a summer job at a seaside resort in Wales, where she finds the staff, the owners and patrons unlike anyone she has ever met before.",0.122181,Experience Preferred...But Not Essential,Comedy
2929,2929,"In World War II era Los Angeles, the manager of the Culver Hotel leaves his nephew in charge for a weekend. The nephew changes the name to the Hotel Rainbow and overbooks with royalty, assassins, secret agents, Japanese tourists, and munchkins (from the cast of _Wizard of Oz, The (1939)_ ). Secret Service agent Bruce Thorpe and casting director Annie Clark find romance amidst the intrigue and confusion.",0.69162,Under the Rainbow,Comedy
2930,2930,An inept British WWII commander leads his troops to a series of misadventures in North Africa and Europe.,1.494833,How I Won the War,"Comedy, War"
2931,2931,"On a winter day in a southside Queens high school, events collide and six students are suddenly in an armed standoff with the NYPD. At the school, classrooms freeze, teachers come and go, resources are scant.",1.252804,Light It Up,"Drama, Thriller"
2932,2932,"In this adaptation of the Mona Simpson novel, single mother Adele August is bad with money, and even worse when it comes to making decisions. Her straight-laced daughter, Ann, is a successful high school student with Ivy League aspirations. When Adele decides to pack up and move the two of them from the Midwest to Beverly Hills, Calif., to pursue her dreams of Hollywood success, Ann grows frustrated with her mother's irresponsible and impulsive ways.",12.593734,Anywhere But Here,"Drama, Comedy, Romance"
2933,2933,"The latest battle in the eternal war between Good and Evil has come to New Jersey in the late, late 20th Century. Angels, demons, apostles and prophets (of a sort) walk among the cynics and innocents of America and duke it out for the fate of humankind.",8.559088,Dogma,"Fantasy, Comedy, Adventure"
2934,2934,In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's dimished kingdom - through her amazing victories until her violent and untimely death.,9.471838,The Messenger: The Story of Joan of Arc,"Adventure, Drama, Action, History, War"
2935,2935,"The adventure explodes into action with the debut of Mewtwo, a bio-engineered Pokemon created from the DNA of Mew, the rarest of all Pokemon. Determined to prove its superiority, Mewtwo lures Ash, Pikachu and others into a Pokemon match like none before. Mewtwo vs. Mew. Super-clones vs. Pokemon. It's the ultimate showdown ... with the very future of the world at stake!",7.556826,Pokémon: The First Movie: Mewtwo Strikes Back,Animation
2936,2936,"A solitary middle-aged bachelor and a naive Irish teenager transform one another's lives to arrive at a place of recognition, redemption and wisdom in Atom Egoyan's adaptation of William Trevor's celebrated 1994 novel. Seventeen and pregnant, Felicia travels to England in search of her lover and is found instead by Joseph Ambrose Hilditch, a helpful catering manager whose kindness masks a serial killer. Hilditch has murdered several young women, but he has no conscious awareness of the crimes; like Felicia, he doesn't see his true self. Felicia's Journey is a story of innocence lost and regained: Felicia awakens to the world's dangers and duplicities; and Hilditch, who grew up lonely and unloved, comes to realize what was taken from him, and what he himself has taken.",1.850056,Felicia's Journey,Drama
2937,2937,"A masochistic cop, who hides her predilection from her cop husband, gets involved in pursuing a kidnapper nicknamed Harry for Harry Houdini",8.343079,Oxygen,"Mystery, Thriller, Crime, Drama"
2938,2938,"After making a 3-hour fiasco about New York City's water supply, a two-man film crew decides to take it up a notch by documenting life in the private investigator offices of ""Boone and Murphy"". Cheating husbands and missing dogs fail to bring in the big bucks however, and after sleeping with the wife of one of their clients Murphy leaves. To stop Boone from having to close down the business the two film-makers must resort to a hands-on approach in the investigations to ensure the completion of their movie.",1.193384,Where's Marlowe?,"Comedy, Mystery, Thriller"
2939,2939,"A mad scientist searching for a cure for polio. Dr. Bernard Adrian is a kindly mad scientist who seeks to cure a young woman's polio. He needs spinal fluid from a human to complete the formula for his experimental serum. Meanwhile, a vicious circus ape has broken out of its cage, and is terrorizing towns people.",0.691803,The Ape,"Drama, Horror, Science Fiction"
2940,2940,"During WWI pretty German master spy Helene von Lorbeer is sent undercover to London to live with the family of a high-placed British official where she is to rendezvous with the butler Valdar, also a spy, and help him transmit secret war plans back to Germany.",0.233318,British Intelligence,"Action, Adventure"
2941,2941,"Jimmy Rabbitte, just a tick out of school, gets a brilliant idea: to put a soul band together in Barrytown, his slum home in north Dublin. First he needs musicians and singers: things slowly start to click when he finds three fine-voiced females virtually in his back yard, a lead singer (Deco) at a wedding, and, responding to his ad, an aging trumpet player, Joey ""The Lips"" Fagan.",7.442056,The Commitments,"Comedy, Drama, Music"
2942,2942,"Lovely Linda Mason has crooner Jim Hardy head over heels, but suave stepper Ted Hanover wants her for his new dance partner after femme fatale Lila Dixon gives him the brush. Jim's supper club, Holiday Inn, is the setting for the chase by Hanover and manager Danny Reed. The music's the thing.",8.258968,Holiday Inn,"Comedy, Drama, Music, Romance"
2943,2943,"The retelling of June 6, 1944, from the perspectives of the Germans, US, British, Canadians, and the Free French. Marshall Erwin Rommel, touring the defenses being established as part of the Reich's Atlantic Wall, notes to his officers that when the Allied invasion comes they must be stopped on the beach. ""For the Allies as well as the Germans, it will be the longest day""",10.770928,The Longest Day,"Action, Drama, History, War"
2944,2944,A seductive teen befriends an introverted high school student and schemes her way into the lives of her wealthy family.,6.901684,Poison Ivy,Thriller
2945,2945,A sinister seductress vows to destroy a suburban family.,6.146452,Poison Ivy: The New Seduction,"Thriller, Romance"
2946,2946,"The story of a young shoe salesman whose overestimation of his own sharpness leads to gambling debts, pissed-off loan sharks, and overall misery.",0.064219,Ten Benny,"Drama, Action"
2947,2947,"In the summer of 1941, the United States and Japan seem on the brink of war after constant embargos and failed diplomacy come to no end. ""Tora! Tora! Tora!"", named after the code words use by the lead Japanese pilot to indicate they had surprised the Americans, covers the days leading up to the attack on Pearl Harbor, which plunged America into the Second World War.",7.262326,Tora! Tora! Tora!,"History, Action, Drama, Adventure, War"
2948,2948,"Pepa resolves to kill herself with a batch of sleeping-pill-laced gazpacho after her lover leaves her. Fortunately, she is interrupted by a deliciously chaotic series of events.",5.470331,Women on the Verge of a Nervous Breakdown,"Comedy, Drama"
2949,2949,"Frank Galvin is a down-on-his luck lawyer, reduced to drinking and ambulance chasing. Former associate Mickey Morrissey reminds him of his obligations in a medical malpractice suit that he himself served to Galvin on a silver platter: all parties willing to settle out of court. Blundering his way through the preliminaries, he suddenly realizes that perhaps after all the case should go to court; to punish the guilty, to get a decent settlement for his clients, and to restore his standing as a lawyer.",9.596883,The Verdict,Drama
2950,2950,"Middle-aged widow Beatrice Hunsdorfer (Joanne Woodward) and her daughters Ruth (Roberta Wallach) and Matilda (Nell Potts) are struggling to survive in a society they barely understand. Beatrice dreams of opening an elegant tea room but does not have the wherewithal to achieve her lofty goal. Epileptic Ruth is a rebellious adolescent, while shy but highly intelligent and idealistic Matilda seeks solace in her pets and school projects, including one designed to show how small amounts of radium affect marigolds.",0.473593,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,Drama
2951,2951,"Adventurer/surgeon/rock musician Buckaroo Banzai and his band of men, the Hong Kong Cavaliers, take on evil alien invaders from the 8th dimension.",7.778445,The Adventures of Buckaroo Banzai Across the 8th Dimension,"Comedy, Science Fiction"
2952,2952,"Jaime Escalante is a mathematics teacher in a school in a hispanic neighbourhood. Convinced that his students have potential, he adopts unconventional teaching methods to try and turn gang members and no-hopers into some of the country's top algebra and calculus students.",5.355761,Stand and Deliver,Drama
2953,2953,"Cher is devastatingly funny, sinuous and beautiful as Loretta, an unlucky-in-love Italian widow who finds romance through the intervention of the Manhattan moon. With her wedding to a close friend just weeks away, she meets - and falls hopelessly in love with - his younger brother (Cage)!",12.877291,Moonstruck,"Comedy, Drama, Romance"
2954,2954,"A free-spirited artist (Elizabeth Taylor), who lives near California's Big Sur, meets the administrator (Richard Burton) of the parochial school that her young son attends and lures the cleric away from his wife (Eva Marie Saint).",1.198796,The Sandpiper,"Drama, Romance"
2955,2955,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by Indians when he proves to be the match of their warriors in one-to-one combat on the early frontier.,4.711031,Jeremiah Johnson,"Adventure, Western"
2956,2956,"In Roman Polanski's first English-language film, beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.",6.825852,Repulsion,"Drama, Horror, Thriller"
2957,2957,"Nester Patou, a naive police officer, is transferred to the red light district in Paris and organizes a raid on a dodgy hotel running as a brothel - inadvertently disrupting the corrupt system of the police and the pimps union, and netting his station superior. Fired from his job, Nester goes to the local bar for a drink and befriends a pretty young lady named Irma la Douce. Upon realizing she is a prostitute, Nester invents a crazy scheme to keep her from seeing other men.",5.967967,Irma la Douce,"Comedy, Romance"
2958,2958,Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.,0.697268,42 Up,"Documentary, Foreign"
2959,2959,"Anti-Semitism, race relations, coming of age, and fathers and sons: in Baltimore from fall, 1954, to fall, 1955.",2.64721,Liberty Heights,Drama
2960,2960,"This fun and sexy comedy tells a timelessly entertaining story where wealthy, secret passions and mischievous women put love to the test.. When a spirited young woman, Fanny Price, is sent away to live on the great country estate of her rich cousins, she's meant to learn the ways of proper society. But while Fanny learns ""their"" ways, she also enlightens them with a wit and sparkle all her own!",6.646005,Mansfield Park,"Drama, Romance"
2961,2961,"In the year 2019, after global destruction and descent into savagery, the immortal Kuzman tried to discover his destiny in order to learn how to die. As he enters the whirling circles of time, we discover the blasphemy of our century, and how it is to close its circle",0.352075,"Goodbye, 20th Century","Adventure, Comedy, Fantasy, Science Fiction"
2962,2962,New York detective Ichabod Crane is sent to Sleepy Hollow to investigate a series of mysterious deaths in which the victims are found beheaded. But the locals believe the culprit to be none other than the ghost of the legendary Headless Horseman.,11.072361,Sleepy Hollow,"Drama, Fantasy, Thriller, Mystery"
2963,2963,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",12.130127,The World Is Not Enough,"Adventure, Action, Thriller"
2964,2964,"A single mother in Madrid sees her only son die on his birthday as he runs to seek an actress' autograph. Beside herself with grief, she returns to Barcelona to tell the boy's father about the death of the son he never knew he had.",10.000915,All About My Mother,"Comedy, Drama"
2965,2965,"A look at the early days of online culture as personified by college student Justin Hall, now acknowleged as the web’s first blogger.  Called “Groundbreaking” by Roger Ebert, the film screened at the Sundance, Rotterdam, SXSW, Thessaloniki and Full Frame festivals, among others, and was broadcast on HBO, IFC and throughout Europe after a limited theatrical release.",0.001183,Home Page,Documentary
2966,2966,"A toxic spill revives a beautiful, dead heiress who, with the help of her childhood friend, must quench her insatiable thirst for blood",1.605782,The Living Dead Girl,Horror
2967,2967,"Ollie Dee and Stanley Dum try to borrow money from their employer, the toymaker, to pay off the mortgage on Mother Peep's shoe and keep it and Little Bo Peep from the clutches of the evil Barnaby. When that fails, they trick Barnaby into marrying Stanley Dum instead of Bo Peep. Enraged, Barnaby unleashes the bogeymen from their caverns to destroy Toyland.",7.768271,Babes in Toyland,Comedy
2968,2968,"In this modern take on Charles Dickens' ""A Christmas Carol,"" Frank Cross (Bill Murray) is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life, Claire Phillips (Karen Allen). But after firing a staff member, Eliot Loudermilk (Bobcat Goldthwait), on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.",11.465634,Scrooged,"Fantasy, Comedy, Drama"
